id,text_string
toolshed.g2.bx.psu.edu/repos/iuc/mothur_make_biom/mothur_make_biom/1.36.1.0,Tool: Make.biom. Description: Make biom files from a shared file. Category: Mothur. Labels: updated.
toolshed.g2.bx.psu.edu/repos/iuc/mothur_list_seqs/mothur_list_seqs/1.36.1.0,Tool: List.seqs. Description: Lists the names (accnos) of the sequences. Category: Mothur. Labels: updated.
toolshed.g2.bx.psu.edu/repos/iuc/mothur_list_otulabels/mothur_list_otulabels/1.36.1.0,Tool: List.otulabels. Description: Lists otu labels from shared or relabund file. Category: Mothur. Labels: updated.
toolshed.g2.bx.psu.edu/repos/iuc/mothur_libshuff/mothur_libshuff/1.36.1.0,Tool: Libshuff. Description: Cramer-von Mises tests communities for the same structure. Category: Mothur. Labels: updated.
toolshed.g2.bx.psu.edu/repos/iuc/mothur_lefse/mothur_lefse/1.36.1.0,Tool: Lefse. Description: description. Category: Mothur. Labels: updated.
toolshed.g2.bx.psu.edu/repos/iuc/mothur_indicator/mothur_indicator/1.36.1.0,"Tool: Indicator. Description: Identify indicator ""species"" for nodes on a tree. Category: Mothur. Labels: updated."
toolshed.g2.bx.psu.edu/repos/iuc/mothur_homova/mothur_homova/1.36.1.0,Tool: Homova. Description: Homogeneity of molecular variance. Category: Mothur. Labels: updated.
toolshed.g2.bx.psu.edu/repos/iuc/mothur_heatmap_sim/mothur_heatmap_sim/1.36.1.0,Tool: Heatmap.sim. Description: Generate a heatmap for pariwise similarity. Category: Mothur. Labels: updated.
toolshed.g2.bx.psu.edu/repos/iuc/mothur_heatmap_bin/mothur_heatmap_bin/1.36.1.0,Tool: Heatmap.bin. Description: Generate a heatmap for OTUs. Category: Mothur. Labels: updated.
toolshed.g2.bx.psu.edu/repos/iuc/mothur_hcluster/mothur_hcluster/1.36.1.0,Tool: Hcluster. Description: Assign sequences to OTUs (Operational Taxonomic Unit). Category: Mothur. Labels: updated.
toolshed.g2.bx.psu.edu/repos/iuc/mothur_get_sharedseqs/mothur_get_sharedseqs/1.36.1.0,Tool: Get.sharedseqs. Description: Get shared sequences at each distance from list and group. Category: Mothur. Labels: updated.
toolshed.g2.bx.psu.edu/repos/iuc/mothur_get_seqs/mothur_get_seqs/1.36.1.0,Tool: Get.seqs. Description: Picks sequences by name. Category: Mothur. Labels: updated.
toolshed.g2.bx.psu.edu/repos/iuc/mothur_get_sabund/mothur_get_sabund/1.36.1.0,Tool: Get.sabund. Description: Get sabund from a otu list or rabund. Category: Mothur. Labels: updated.
toolshed.g2.bx.psu.edu/repos/iuc/mothur_get_relabund/mothur_get_relabund/1.36.1.0,Tool: Get.relabund. Description: Calculate the relative abundance of each otu. Category: Mothur. Labels: updated.
toolshed.g2.bx.psu.edu/repos/iuc/mothur_get_rabund/mothur_get_rabund/1.36.1.0,Tool: Get.rabund. Description: Get rabund from a otu list or sabund. Category: Mothur. Labels: updated.
toolshed.g2.bx.psu.edu/repos/iuc/mothur_get_otus/mothur_get_otus/1.36.1.0,Tool: Get.otus. Description: Get otus containing sequences from specified groups. Category: Mothur. Labels: updated.
toolshed.g2.bx.psu.edu/repos/iuc/mothur_get_oturep/mothur_get_oturep/1.36.1.0,Tool: Get.oturep. Description: Generate a fasta with a representative sequence for each OTU. Category: Mothur. Labels: updated.
toolshed.g2.bx.psu.edu/repos/iuc/mothur_get_otulist/mothur_get_otulist/1.36.1.0,Tool: Get.otulist. Description: Get otus for each distance in a otu list. Category: Mothur. Labels: updated.
toolshed.g2.bx.psu.edu/repos/iuc/mothur_get_otulabels/mothur_get_otulabels/1.36.1.0,Tool: Get.otulabels. Description: Selects OTU labels. Category: Mothur. Labels: updated.
toolshed.g2.bx.psu.edu/repos/iuc/mothur_get_mimarkspackage/mothur_get_mimarkspackage/1.36.1.0,Tool: Get.mimarkspackage. Description: creates a mimarks package form with your groups. Category: Mothur. Labels: updated.
toolshed.g2.bx.psu.edu/repos/iuc/mothur_get_lineage/mothur_get_lineage/1.36.1.0,Tool: Get.lineage. Description: Picks by taxon. Category: Mothur. Labels: updated.
toolshed.g2.bx.psu.edu/repos/iuc/mothur_get_label/mothur_get_label/1.36.1.0,"Tool: Get.label. Description: label names from list, sabund, or rabund file. Category: Mothur. Labels: updated."
toolshed.g2.bx.psu.edu/repos/iuc/mothur_get_groups/mothur_get_groups/1.36.1.0,Tool: Get.groups. Description: Select groups. Category: Mothur. Labels: updated.
toolshed.g2.bx.psu.edu/repos/iuc/mothur_get_group/mothur_get_group/1.36.1.0,Tool: Get.group. Description: group names from shared or from list and group. Category: Mothur. Labels: updated.
toolshed.g2.bx.psu.edu/repos/iuc/mothur_get_dists/mothur_get_dists/1.36.1.0,Tool: Get.dists. Description: selects distances from a phylip or column file. Category: Mothur. Labels: updated.
toolshed.g2.bx.psu.edu/repos/iuc/mothur_get_coremicrobiome/mothur_get_coremicrobiome/1.36.1.0,Tool: Get.coremicrobiome. Description: fraction of OTUs for samples or abundances. Category: Mothur. Labels: updated.
toolshed.g2.bx.psu.edu/repos/iuc/mothur_get_communitytype/mothur_get_communitytype/1.36.1.0,Tool: Get.communitytype. Description: description. Category: Mothur. Labels: updated.
toolshed.g2.bx.psu.edu/repos/iuc/mothur_filter_shared/mothur_filter_shared/1.36.1.0,Tool: Filter.shared. Description: remove OTUs based on various critieria. Category: Mothur. Labels: updated.
toolshed.g2.bx.psu.edu/repos/iuc/mothur_filter_seqs/mothur_filter_seqs/1.36.1.0,Tool: Filter.seqs. Description: removes columns from alignments. Category: Mothur. Labels: updated.
toolshed.g2.bx.psu.edu/repos/iuc/mothur_fastq_info/mothur_fastq_info/1.36.1.0,Tool: Fastq.info. Description: Convert fastq to fasta and quality. Category: Mothur. Labels: updated.
toolshed.g2.bx.psu.edu/repos/iuc/mothur_dist_shared/mothur_dist_shared/1.36.1.0,Tool: Dist.shared. Description: Generate a phylip-formatted dissimilarity distance matrix among multiple groups. Category: Mothur. Labels: updated.
toolshed.g2.bx.psu.edu/repos/iuc/mothur_dist_seqs/mothur_dist_seqs/1.36.1.0,Tool: Dist.seqs. Description: calculate uncorrected pairwise distances between aligned sequences. Category: Mothur. Labels: updated.
toolshed.g2.bx.psu.edu/repos/iuc/mothur_deunique_tree/mothur_deunique_tree/1.36.1.0,Tool: Deunique.tree. Description: Reinsert the redundant sequence identiers back into a unique tree.. Category: Mothur. Labels: updated.
toolshed.g2.bx.psu.edu/repos/iuc/mothur_deunique_seqs/mothur_deunique_seqs/1.36.1.0,Tool: Deunique.seqs. Description: Return all sequences. Category: Mothur. Labels: updated.
toolshed.g2.bx.psu.edu/repos/iuc/mothur_degap_seqs/mothur_degap_seqs/1.36.1.0,Tool: Degap.seqs. Description: Remove gap characters from sequences. Category: Mothur. Labels: updated.
toolshed.g2.bx.psu.edu/repos/iuc/mothur_create_database/mothur_create_database/1.36.1.0,"Tool: Create.database. Description: creates a database file from a list, repnames, repfasta and contaxonomy file. Category: Mothur. Labels: updated."
toolshed.g2.bx.psu.edu/repos/iuc/mothur_count_seqs/mothur_count_seqs/1.36.1.0,Tool: Count.seqs. Description: (aka make.table) counts the number of sequences represented by the representative. Category: Mothur. Labels: updated.
toolshed.g2.bx.psu.edu/repos/iuc/mothur_count_groups/mothur_count_groups/1.36.1.0,Tool: Count.groups. Description: counts the number of sequences represented by a specific group or set of groups. Category: Mothur. Labels: updated.
toolshed.g2.bx.psu.edu/repos/iuc/mothur_corr_axes/mothur_corr_axes/1.36.1.0,Tool: Corr.axes. Description: correlation of data to axes. Category: Mothur. Labels: updated.
toolshed.g2.bx.psu.edu/repos/iuc/mothur_cooccurrence/mothur_cooccurrence/1.36.1.0,Tool: Cooccurrence. Description: tests whether presence-absence patterns differ from chance. Category: Mothur. Labels: updated.
toolshed.g2.bx.psu.edu/repos/iuc/mothur_consensus_seqs/mothur_consensus_seqs/1.36.1.0,Tool: Consensus.seqs. Description: Find a consensus sequence for each OTU or phylotype. Category: Mothur. Labels: updated.
toolshed.g2.bx.psu.edu/repos/iuc/mothur_collect_single/mothur_collect_single/1.36.1.0,Tool: Collect.single. Description: Generate collector's curves for OTUs. Category: Mothur. Labels: updated.
toolshed.g2.bx.psu.edu/repos/iuc/mothur_collect_shared/mothur_collect_shared/1.36.1.0,Tool: Collect.shared. Description: Generate collector's curves for calculators on OTUs. Category: Mothur. Labels: updated.
toolshed.g2.bx.psu.edu/repos/iuc/mothur_cluster_split/mothur_cluster_split/1.36.1.0,Tool: Cluster.split. Description: Assign sequences to OTUs (Operational Taxonomic Unit) splits large matrices. Category: Mothur. Labels: updated.
toolshed.g2.bx.psu.edu/repos/iuc/mothur_cluster_fragments/mothur_cluster_fragments/1.36.1.0,Tool: Cluster.fragments. Description: Group sequences that are part of a larger sequence. Category: Mothur. Labels: updated.
toolshed.g2.bx.psu.edu/repos/iuc/mothur_cluster_classic/mothur_cluster_classic/1.36.1.0,Tool: Cluster.classic. Description: Assign sequences to OTUs (Dotur implementation). Category: Mothur. Labels: updated.
toolshed.g2.bx.psu.edu/repos/iuc/mothur_cluster/mothur_cluster/1.36.1.0,Tool: Cluster. Description: Assign sequences to OTUs (Operational Taxonomic Unit). Category: Mothur. Labels: updated.
toolshed.g2.bx.psu.edu/repos/iuc/mothur_clearcut/mothur_clearcut/1.36.1.0,Tool: Clearcut. Description: Generate a tree using relaxed neighbor joining. Category: Mothur. Labels: updated.
toolshed.g2.bx.psu.edu/repos/iuc/mothur_classify_tree/mothur_classify_tree/1.36.1.0,Tool: Classify.tree. Description: Get a consensus taxonomy for each node on a tree. Category: Mothur. Labels: updated.
toolshed.g2.bx.psu.edu/repos/iuc/mothur_classify_seqs/mothur_classify_seqs/1.36.1.0,Tool: Classify.seqs. Description: Assign sequences to taxonomy. Category: Mothur. Labels: updated.
toolshed.g2.bx.psu.edu/repos/iuc/mothur_classify_rf/mothur_classify_rf/1.36.1.0,Tool: Classify.rf. Description: description. Category: Mothur. Labels: updated.
toolshed.g2.bx.psu.edu/repos/iuc/mothur_classify_otu/mothur_classify_otu/1.36.1.0,Tool: Classify.otu. Description: Assign sequences to taxonomy. Category: Mothur. Labels: updated.
toolshed.g2.bx.psu.edu/repos/iuc/mothur_chop_seqs/mothur_chop_seqs/1.36.1.0,Tool: Chop.seqs. Description: Trim sequences to a specified length. Category: Mothur. Labels: updated.
toolshed.g2.bx.psu.edu/repos/iuc/mothur_chimera_uchime/mothur_chimera_uchime/1.36.1.0,Tool: Chimera.uchime. Description: Find putative chimeras using uchime. Category: Mothur. Labels: updated.
toolshed.g2.bx.psu.edu/repos/iuc/mothur_chimera_slayer/mothur_chimera_slayer/1.36.1.0,Tool: Chimera.slayer. Description: Find putative chimeras using slayer. Category: Mothur. Labels: updated.
toolshed.g2.bx.psu.edu/repos/iuc/mothur_chimera_pintail/mothur_chimera_pintail/1.36.1.0,Tool: Chimera.pintail. Description: Find putative chimeras using pintail. Category: Mothur. Labels: updated.
toolshed.g2.bx.psu.edu/repos/iuc/mothur_chimera_perseus/mothur_chimera_perseus/1.36.1.0,Tool: Chimera.perseus. Description: Find putative chimeras using chimeraCheck. Category: Mothur. Labels: updated.
toolshed.g2.bx.psu.edu/repos/iuc/mothur_chimera_check/mothur_chimera_check/1.36.1.0,Tool: Chimera.check. Description: Find putative chimeras using chimeraCheck. Category: Mothur. Labels: updated.
toolshed.g2.bx.psu.edu/repos/iuc/mothur_chimera_ccode/mothur_chimera_ccode/1.36.1.0,Tool: Chimera.ccode. Description: Find putative chimeras using ccode. Category: Mothur. Labels: updated.
toolshed.g2.bx.psu.edu/repos/iuc/mothur_chimera_bellerophon/mothur_chimera_bellerophon/1.36.1.0,Tool: Chimera.bellerophon. Description: Find putative chimeras using bellerophon. Category: Mothur. Labels: updated.
toolshed.g2.bx.psu.edu/repos/iuc/mothur_bin_seqs/mothur_bin_seqs/1.36.1.0,Tool: Bin.seqs. Description: Order Sequences by OTU. Category: Mothur. Labels: updated.
toolshed.g2.bx.psu.edu/repos/iuc/mothur_anosim/mothur_anosim/1.36.1.0,Tool: Anosim. Description: Non-parametric multivariate analysis of changes in community structure. Category: Mothur. Labels: updated.
toolshed.g2.bx.psu.edu/repos/iuc/mothur_amova/mothur_amova/1.36.1.0,Tool: Amova. Description: Analysis of molecular variance. Category: Mothur. Labels: updated.
toolshed.g2.bx.psu.edu/repos/iuc/mothur_align_seqs/mothur_align_seqs/1.36.1.0,Tool: Align.seqs. Description: Align sequences to a template alignment. Category: Mothur. Labels: updated.
toolshed.g2.bx.psu.edu/repos/iuc/mothur_align_check/mothur_align_check/1.36.1.0,Tool: Align.check. Description: Calculate the number of potentially misaligned bases. Category: Mothur. Labels: updated.
toolshed.g2.bx.psu.edu/repos/bgruening/diffbind/diffbind/2.0.2,Tool: DiffBind. Description: differential binding analysis of ChIP-Seq peak data. Category: ChIP-seq.
toolshed.g2.bx.psu.edu/repos/iuc/vsearch/vsearch_search/1.1.3.1,Tool: VSearch search. Description:  . Category: Metagenomic Analysis.
toolshed.g2.bx.psu.edu/repos/iuc/vsearch/vsearch_clustering/1.1.3.2,Tool: VSearch clustering. Description:  . Category: Metagenomic Analysis.
toolshed.g2.bx.psu.edu/repos/iuc/vsearch/vsearch_masking/1.1.3.1,Tool: VSearch masking. Description:  . Category: Metagenomic Analysis.
toolshed.g2.bx.psu.edu/repos/iuc/vsearch/vsearch_chimera_detection/1.1.3.1,Tool: VSearch chimera detection. Description:  . Category: Metagenomic Analysis.
toolshed.g2.bx.psu.edu/repos/iuc/vsearch/vsearch_sorting/1.1.3.2,Tool: VSearch sorting. Description:  . Category: Metagenomic Analysis.
toolshed.g2.bx.psu.edu/repos/iuc/vsearch/vsearch_shuffling/1.1.3.1,Tool: VSearch shuffling. Description:  . Category: Metagenomic Analysis.
toolshed.g2.bx.psu.edu/repos/iuc/vsearch/vsearch_dereplication/1.1.3.2,Tool: VSearch dereplication. Description:  . Category: Metagenomic Analysis.
toolshed.g2.bx.psu.edu/repos/iuc/vsearch/vsearch_alignment/1.1.3.1,Tool: VSearch alignment. Description:  . Category: Metagenomic Analysis.
toolshed.g2.bx.psu.edu/repos/iuc/biom_add_metadata/biom_add_metadata/2.1.10+galaxy0,Tool: Add metadata. Description: to a BIOM table. Category: Metagenomic Analysis.
toolshed.g2.bx.psu.edu/repos/iuc/biom_convert/biom_convert/2.1.10+galaxy0,Tool: Convert. Description: between BIOM table formats. Category: Metagenomic Analysis.
toolshed.g2.bx.psu.edu/repos/bgruening/diamond/bg_diamond_view/2.0.15+galaxy0,Tool: Diamond view. Description: generate formatted output from DAA files. Category: Metagenomic Analysis.
toolshed.g2.bx.psu.edu/repos/bgruening/diamond/bg_diamond_makedb/2.0.15+galaxy0,Tool: Diamond makedb. Description: Build database from a FASTA file. Category: Metagenomic Analysis.
toolshed.g2.bx.psu.edu/repos/bgruening/diamond/bg_diamond/2.0.15+galaxy0,Tool: Diamond. Description: alignment tool for short sequences against a protein database. Category: Metagenomic Analysis.
toolshed.g2.bx.psu.edu/repos/iuc/kraken_taxonomy_report/kraken_taxonomy_report/0.0.3,Tool: Kraken taxonomic report. Description: view report of classification for multiple samples. Category: Metagenomic Analysis.
toolshed.g2.bx.psu.edu/repos/iuc/biom_add_metadata/biom_add_metadata/2.1.12+galaxy1,Tool: Add metadata. Description: to a BIOM table. Category: Metagenomic Analysis.
toolshed.g2.bx.psu.edu/repos/iuc/biom_convert/biom_convert/2.1.12+galaxy1,Tool: Convert. Description: between BIOM table formats. Category: Metagenomic Analysis.
toolshed.g2.bx.psu.edu/repos/iuc/nonpareil/nonpareil/3.1.1.1,Tool: Nonpareil. Description: to estimate average coverage and generate Nonpareil curves. Category: Metagenomic Analysis.
toolshed.g2.bx.psu.edu/repos/iuc/biom_add_metadata/biom_add_metadata/2.1.14+galaxy0,Tool: Add metadata. Description: to a BIOM table. Category: Metagenomic Analysis.
toolshed.g2.bx.psu.edu/repos/iuc/biom_convert/biom_convert/2.1.14+galaxy0,Tool: Convert. Description: between BIOM table formats. Category: Metagenomic Analysis.
toolshed.g2.bx.psu.edu/repos/iuc/cat_add_names/cat_add_names/5.2.3+galaxy0,Tool: CAT add_names. Description: annotate with taxonomic names. Category: Metagenomic Analysis.
toolshed.g2.bx.psu.edu/repos/iuc/cat_prepare/cat_prepare/5.2.3+galaxy0,Tool: CAT prepare. Description: a database for CAT - Contig Annotation Tool. Category: Metagenomic Analysis.
toolshed.g2.bx.psu.edu/repos/iuc/cat_contigs/cat_contigs/5.2.3+galaxy0,Tool: CAT contigs. Description: annotate with taxonomic classification. Category: Metagenomic Analysis.
toolshed.g2.bx.psu.edu/repos/iuc/cat_summarise/cat_summarise/5.2.3+galaxy0,Tool: CAT summarise. Description: the number of contigs or bins assigned to each taxonomic name. Category: Metagenomic Analysis.
toolshed.g2.bx.psu.edu/repos/iuc/cat_bins/cat_bins/5.2.3+galaxy0,Tool: CAT bins. Description: annotate with taxonomic classification. Category: Metagenomic Analysis.
toolshed.g2.bx.psu.edu/repos/iuc/plasflow/PlasFlow/1.1.0+galaxy0,Tool: PlasFlow. Description: Prediction of plasmid sequences in metagenomic contigs. Category: Metagenomic Analysis.
toolshed.g2.bx.psu.edu/repos/iuc/vapor/vapor/1.0.2+galaxy3,Tool: VAPOR. Description: Classify Influenza samples from short reads sequence data. Category: Metagenomic Analysis.
toolshed.g2.bx.psu.edu/repos/nml/staramr/staramr_search/0.7.1+galaxy2,"Tool: staramr. Description: Scans genome assemblies against the ResFinder, PlasmidFinder, and PointFinder databases searching for AMR genes.. Category: Metagenomic Analysis."
toolshed.g2.bx.psu.edu/repos/iuc/krakentools_kreport2krona/krakentools_kreport2krona/1.2+galaxy0,Tool: Krakentools: Convert kraken report file. Description: to krona text file. Category: Metagenomic Analysis.
toolshed.g2.bx.psu.edu/repos/iuc/humann_regroup_table/humann_regroup_table/3.6.0+galaxy0,"Tool: Regroup. Description: HUMAnN table features. Category: Metagenomic Analysis. Topics: topic_3174, topic_0194."
toolshed.g2.bx.psu.edu/repos/iuc/humann/humann/3.7+galaxy0,Tool: HUMAnN. Description: to profile presence/absence and abundance of microbial pathways and gene families. Category: Metagenomic Analysis.
toolshed.g2.bx.psu.edu/repos/iuc/humann_renorm_table/humann_renorm_table/3.6.0+galaxy0,"Tool: Renormalize. Description: a HUMAnN generated table. Category: Metagenomic Analysis. Topics: topic_3174, topic_0194."
toolshed.g2.bx.psu.edu/repos/iuc/metaphlan/metaphlan/4.0.6+galaxy0,Tool: MetaPhlAn. Description: to profile the composition of microbial communities. Category: Metagenomic Analysis.
toolshed.g2.bx.psu.edu/repos/iuc/humann_unpack_pathways/humann_unpack_pathways/3.6.0+galaxy0,"Tool: Unpack pathway abundances. Description: to show the genes for each. Category: Metagenomic Analysis. Topics: topic_3174, topic_0194."
toolshed.g2.bx.psu.edu/repos/iuc/humann_split_stratified_table/humann_split_stratified_table/3.6.0+galaxy0,"Tool: Split a HUMAnN table. Description: into 2 tables (one stratified and one unstratified). Category: Metagenomic Analysis. Topics: topic_3174, topic_0194."
toolshed.g2.bx.psu.edu/repos/iuc/humann_rename_table/humann_rename_table/3.6.0+galaxy0,"Tool: Rename features. Description: of a HUMAnN generated table. Category: Metagenomic Analysis. Topics: topic_3174, topic_0194."
toolshed.g2.bx.psu.edu/repos/iuc/dada2_plotqualityprofile/dada2_plotQualityProfile/1.20+galaxy1,Tool: dada2: plotQualityProfile. Description: plot a visual summary of the quality scores. Category: Metagenomic Analysis.
toolshed.g2.bx.psu.edu/repos/iuc/dada2_plotcomplexity/dada2_plotComplexity/1.20+galaxy1,Tool: dada2: plotComplexity. Description: Plot sequence complexity profile. Category: Metagenomic Analysis.
toolshed.g2.bx.psu.edu/repos/iuc/dada2_assigntaxonomyaddspecies/dada2_assignTaxonomyAddspecies/1.20+galaxy1,Tool: dada2: assignTaxonomy and addSpecies. Description: Learn Error rates. Category: Metagenomic Analysis.
toolshed.g2.bx.psu.edu/repos/iuc/dada2_removebimeradenovo/dada2_removeBimeraDenovo/1.20+galaxy1,Tool: dada2: removeBimeraDenovo. Description: Remove bimeras from collections of unique sequences. Category: Metagenomic Analysis.
toolshed.g2.bx.psu.edu/repos/iuc/dada2_filterandtrim/dada2_filterAndTrim/1.20+galaxy1,Tool: dada2: filterAndTrim. Description: Filter and trim short read data. Category: Metagenomic Analysis.
toolshed.g2.bx.psu.edu/repos/iuc/dada2_dada/dada2_dada/1.20+galaxy1,Tool: dada2: dada. Description: Remove sequencing errors. Category: Metagenomic Analysis.
toolshed.g2.bx.psu.edu/repos/iuc/dada2_learnerrors/dada2_learnErrors/1.20+galaxy1,Tool: dada2: learnErrors. Description: Learn Error rates. Category: Metagenomic Analysis.
toolshed.g2.bx.psu.edu/repos/iuc/dada2_makesequencetable/dada2_makeSequenceTable/1.20+galaxy1,Tool: dada2: makeSequenceTable. Description: construct a sequence table (analogous to OTU table). Category: Metagenomic Analysis.
toolshed.g2.bx.psu.edu/repos/iuc/dada2_mergepairs/dada2_mergePairs/1.20+galaxy1,Tool: dada2: mergePairs. Description: Merge denoised forward and reverse reads. Category: Metagenomic Analysis.
toolshed.g2.bx.psu.edu/repos/iuc/dada2_seqcounts/dada2_seqCounts/1.20+galaxy1,Tool: dada2: sequence counts. Description:  . Category: Metagenomic Analysis.
toolshed.g2.bx.psu.edu/repos/iuc/krakentools_kreport2krona/krakentools_kreport2krona/1.2+galaxy1,Tool: Krakentools: Convert kraken report file. Description: to krona text file. Category: Metagenomic Analysis.
toolshed.g2.bx.psu.edu/repos/iuc/humann_regroup_table/humann_regroup_table/3.7+galaxy0,Tool: Regroup. Description: HUMAnN table features. Category: Metagenomic Analysis.
toolshed.g2.bx.psu.edu/repos/iuc/humann_renorm_table/humann_renorm_table/3.7+galaxy0,Tool: Renormalize. Description: a HUMAnN generated table. Category: Metagenomic Analysis.
toolshed.g2.bx.psu.edu/repos/iuc/metaphlan/metaphlan/4.0.6+galaxy1,Tool: MetaPhlAn. Description: to profile the composition of microbial communities. Category: Metagenomic Analysis.
toolshed.g2.bx.psu.edu/repos/iuc/humann_unpack_pathways/humann_unpack_pathways/3.7+galaxy0,Tool: Unpack pathway abundances. Description: to show the genes for each. Category: Metagenomic Analysis.
toolshed.g2.bx.psu.edu/repos/iuc/humann_split_stratified_table/humann_split_stratified_table/3.7+galaxy0,Tool: Split a HUMAnN table. Description: into 2 tables (one stratified and one unstratified). Category: Metagenomic Analysis.
toolshed.g2.bx.psu.edu/repos/iuc/humann_rename_table/humann_rename_table/3.7+galaxy0,Tool: Rename features. Description: of a HUMAnN generated table. Category: Metagenomic Analysis.
toolshed.g2.bx.psu.edu/repos/bebatut/combine_metaphlan2_humann2/combine_metaphlan2_humann2/0.2.0,Tool: Combine MetaPhlAn2 and HUMAnN2 outputs. Description: to relate genus/species abundances and gene families/pathways abundances. Category: Metagenomic Analysis.
toolshed.g2.bx.psu.edu/repos/iuc/dada2_plotqualityprofile/dada2_plotQualityProfile/1.28+galaxy0,Tool: dada2: plotQualityProfile. Description: plot a visual summary of the quality scores. Category: Metagenomic Analysis.
toolshed.g2.bx.psu.edu/repos/iuc/dada2_plotcomplexity/dada2_plotComplexity/1.28+galaxy0,Tool: dada2: plotComplexity. Description: Plot sequence complexity profile. Category: Metagenomic Analysis.
toolshed.g2.bx.psu.edu/repos/iuc/dada2_assigntaxonomyaddspecies/dada2_assignTaxonomyAddspecies/1.28+galaxy0,Tool: dada2: assignTaxonomy and addSpecies. Description: Learn Error rates. Category: Metagenomic Analysis.
toolshed.g2.bx.psu.edu/repos/iuc/dada2_removebimeradenovo/dada2_removeBimeraDenovo/1.28+galaxy0,Tool: dada2: removeBimeraDenovo. Description: Remove bimeras from collections of unique sequences. Category: Metagenomic Analysis.
toolshed.g2.bx.psu.edu/repos/iuc/dada2_filterandtrim/dada2_filterAndTrim/1.28+galaxy0,Tool: dada2: filterAndTrim. Description: Filter and trim short read data. Category: Metagenomic Analysis.
toolshed.g2.bx.psu.edu/repos/iuc/dada2_dada/dada2_dada/1.28+galaxy0,Tool: dada2: dada. Description: Remove sequencing errors. Category: Metagenomic Analysis.
toolshed.g2.bx.psu.edu/repos/iuc/dada2_learnerrors/dada2_learnErrors/1.28+galaxy0,Tool: dada2: learnErrors. Description: Learn Error rates. Category: Metagenomic Analysis.
toolshed.g2.bx.psu.edu/repos/iuc/dada2_makesequencetable/dada2_makeSequenceTable/1.28+galaxy0,Tool: dada2: makeSequenceTable. Description: construct a sequence table (analogous to OTU table). Category: Metagenomic Analysis.
toolshed.g2.bx.psu.edu/repos/iuc/dada2_mergepairs/dada2_mergePairs/1.28+galaxy0,Tool: dada2: mergePairs. Description: Merge denoised forward and reverse reads. Category: Metagenomic Analysis.
toolshed.g2.bx.psu.edu/repos/iuc/dada2_seqcounts/dada2_seqCounts/1.28+galaxy0,Tool: dada2: sequence counts. Description:  . Category: Metagenomic Analysis.
toolshed.g2.bx.psu.edu/repos/iuc/humann_regroup_table/humann_regroup_table/3.8+galaxy0,Tool: Regroup. Description: HUMAnN table features. Category: Metagenomic Analysis.
toolshed.g2.bx.psu.edu/repos/iuc/humann/humann/3.8+galaxy0,Tool: HUMAnN. Description: to profile presence/absence and abundance of microbial pathways and gene families. Category: Metagenomic Analysis.
toolshed.g2.bx.psu.edu/repos/iuc/humann_renorm_table/humann_renorm_table/3.8+galaxy0,Tool: Renormalize. Description: a HUMAnN generated table. Category: Metagenomic Analysis.
toolshed.g2.bx.psu.edu/repos/iuc/humann_unpack_pathways/humann_unpack_pathways/3.8+galaxy0,Tool: Unpack pathway abundances. Description: to show the genes for each. Category: Metagenomic Analysis.
toolshed.g2.bx.psu.edu/repos/iuc/humann_split_stratified_table/humann_split_stratified_table/3.8+galaxy0,Tool: Split a HUMAnN table. Description: into 2 tables (one stratified and one unstratified). Category: Metagenomic Analysis.
toolshed.g2.bx.psu.edu/repos/iuc/humann_rename_table/humann_rename_table/3.8+galaxy0,Tool: Rename features. Description: of a HUMAnN generated table. Category: Metagenomic Analysis.
toolshed.g2.bx.psu.edu/repos/iuc/biom_add_metadata/biom_add_metadata/2.1.14+galaxy1,Tool: Add metadata. Description: to a BIOM table. Category: Metagenomic Analysis.
toolshed.g2.bx.psu.edu/repos/iuc/biom_convert/biom_convert/2.1.14+galaxy1,Tool: Convert. Description: between BIOM table formats. Category: Metagenomic Analysis.
toolshed.g2.bx.psu.edu/repos/mbernt/maxbin2/maxbin2/2.2.7+galaxy3,Tool: MaxBin2. Description: clusters metagenomic contigs into bins. Category: Metagenomic Analysis.
toolshed.g2.bx.psu.edu/repos/iuc/mash/mash_screen/2.3+galaxy3,Tool: mash screen. Description: determines how well query sequences are contained within a pool of sequences. Category: Metagenomic Analysis.
toolshed.g2.bx.psu.edu/repos/iuc/mash_sketch/mash_sketch/2.3+galaxy0,"Tool: mash sketch. Description: Create a reduced representation of a sequence or set of sequences, based on min-hashes. Category: Metagenomic Analysis."
toolshed.g2.bx.psu.edu/repos/devteam/kraken2tax/Kraken2Tax/1.2+galaxy0,Tool: Convert Kraken. Description: data to Galaxy taxonomy representation. Category: Metagenomic Analysis.
toolshed.g2.bx.psu.edu/repos/iuc/biom_add_metadata/biom_add_metadata/2.1.15+galaxy0,Tool: Add metadata. Description: to a BIOM table. Category: Metagenomic Analysis.
toolshed.g2.bx.psu.edu/repos/iuc/biom_convert/biom_convert/2.1.15+galaxy0,Tool: Convert. Description: between BIOM table formats. Category: Metagenomic Analysis.
toolshed.g2.bx.psu.edu/repos/mbernt/maxbin2/maxbin2/2.2.7+galaxy4,Tool: MaxBin2. Description: clusters metagenomic contigs into bins. Category: Metagenomic Analysis.
